id,name,type,year_available,radius_m,strength,weight_t,cost
1,Static Veil Jammer,jammer,2060,6000,1.0,2.2,1600
2,Ghost Spoofer,spoofer,2061,4500,1.1,1.8,2100
3,Argus Drone Detector,drone_detector,2060,9000,1.0,1.4,1500
4,Aegis CUAS Turret,cuas_hardkill,2062,2500,1.3,3.6,3400
5,Ironlink Hardened Link,hardened_link,2063,0,1.2,0.8,1200
6,Hydra Frequency Hopper,freq_hop,2064,0,1.25,0.6,1400
7,Tempest Wideband Jammer,jammer,2067,11000,1.6,4.1,5200
8,Halo Laser CUAS,laser_cuas,2066,3500,1.5,4.4,4600
9,Dynamo Charge Bay,charge_bay,2067,1500,1.4,3.0,3800
10,Mirror Coat Counter,laser_counter,2068,0,1.35,1.2,2800
11,Phantom Decoy Pod,decoy,2065,0,1.2,0.9,1700
12,Overwatch Sensor Mast,drone_detector,2069,16000,1.7,2.0,4100
